Acre                     Rio Branco               
Amazonas                 Manaus                   
Roraima                  Boa Vista                
Amapa                    Macapa                   
Para                     Belem                    
Mato Grosso              Cuiaba                   
Mato Grosso do Sul       Campo Grande             
Goias                    Goiania                  
Tocantis                 Palmas                   
Maranhao                 Sao Luis                 
Piaui                    Teresina                 
Ceara                    Fortaleza                
Rio Grande do Norte      Natal                    
Paraiba                  Joao Pessoa              
Pernambuco               Recife                   
Alagoas                  Maceio                   
Sergipe                  Aracaju                  
Bahia                    Salvador                 
Espirito Santo           Vitoria                  
Minas Gerais             Belo Horizonte           
Sao Paulo                Sao Paulo                
Rio de Janeiro           Rio de Janeiro           
Parana                   Curitiba                 
Santa Catarina           Florianopolis            
Rio Grande do Sul        Porto Alegre             
Rondonia                 Porto Velho              
Distrito Federal         Brasilia                 
